phase angle,iQR
000,0.30875818414595835
005,0.3096569658146568
010,0.31110082633151326
015,0.315396115631686
020,0.3184135808106813
025,0.32118467869918516
030,0.32326723871198454
035,0.325465819992844
040,0.3277068878243757
045,0.3298811201078764
050,0.3314572781938652
055,0.33345984324105943
060,0.3344517678562951
065,0.33538313824540533
070,0.33573475930695684
075,0.3371403421126623
080,0.33768942033970195
085,0.33763949950140315
090,0.3377551828035221
095,0.337162933964283
100,0.33717390445079043
105,0.3368230424263424
110,0.33629434898933785
115,0.3357766982427308
120,0.3353667412990499
125,0.3341628287453629
130,0.3328257320457484
135,0.3331130494994046
140,0.3330396272691733
145,0.33309955876569375
150,0.33268856618025355
155,0.33267135616499177
160,0.3330379700943753
165,0.3333710211657607
170,0.33373250909905794
