,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
0,PA,0.014169667,0.013377688,0.002838506,8.06E-06,0.00256872,0.063844975,-0.363076123,-0.389481164,0.155830555,0.024283162,0.174954908,1.523848227
1,PA,0.013771139,0.01297924,0.002834284,8.03E-06,0.002572958,0.063768676,-0.358902965,-0.385729829,0.158822948,0.025224729,0.178221799,1.540949706
2,PA,0.013468228,0.012682523,0.002815685,7.93E-06,0.002556003,0.063895841,-0.356052961,-0.38317759,0.160528683,0.025769458,0.180227508,1.544357551
3,PA,0.013209923,0.012423956,0.002811416,7.90E-06,0.002551764,0.064073871,-0.352909495,-0.380377357,0.162573933,0.026430284,0.182600167,1.553741155
4,PA,0.012933805,0.012148433,0.002813131,7.91E-06,0.002560242,0.063616079,-0.349144228,-0.376989868,0.165040477,0.027238359,0.18566274,1.56185168
5,PA,0.012727997,0.011940731,0.002815906,7.93E-06,0.002564481,0.063658467,-0.346302526,-0.374429222,0.167045465,0.027904187,0.188108969,1.564766642
6,PA,0.01256194,0.011775418,0.002823758,7.97E-06,0.00256872,0.064124736,-0.342429412,-0.370723534,0.168915755,0.028532532,0.190521444,1.562908461
7,PA,0.012388039,0.011601626,0.002829219,8.00E-06,0.002581436,0.064531662,-0.339817704,-0.368338861,0.17076683,0.02916131,0.192957755,1.580656973
8,PA,0.012191392,0.011402402,0.002827865,8.00E-06,0.002577197,0.064099303,-0.336680837,-0.365432097,0.172616597,0.029796489,0.195190491,1.591053968
9,PA,0.013114364,0.012364612,0.00280231,7.85E-06,0.002560242,0.063586407,-0.353737663,-0.381645803,0.164440125,0.027040555,0.185190053,1.558115583
10,PA,0.012744246,0.011987358,0.002807777,7.88E-06,0.002560242,0.06418408,-0.347719005,-0.376044567,0.16778059,0.028150327,0.189350414,1.577810629
11,PA,0.012486673,0.011728791,0.002810287,7.90E-06,0.002564481,0.063764437,-0.343895025,-0.372521502,0.170138742,0.028947192,0.192391488,1.587784689
12,PA,0.012244399,0.01148294,0.002807014,7.88E-06,0.002556003,0.063713572,-0.340919403,-0.369887639,0.172298259,0.02968669,0.194983308,1.595557072
13,PA,0.012016825,0.011258283,0.002802315,7.85E-06,0.002551764,0.06393399,-0.33808936,-0.367269825,0.174222302,0.030353411,0.197096594,1.604375143
14,PA,0.011823515,0.011063297,0.002798941,7.83E-06,0.002543287,0.06357793,-0.334604464,-0.364044026,0.175985652,0.03097095,0.199564166,1.619653016
15,PA,0.011616012,0.010855596,0.00280253,7.85E-06,0.002543287,0.063094705,-0.330430095,-0.35997107,0.178261223,0.031777063,0.202604999,1.606352367
16,PA,0.011258543,0.010491058,0.002819028,7.95E-06,0.002564481,0.064035721,-0.32242085,-0.352396404,0.182728469,0.033389693,0.208278318,1.625229104
17,PA,0.01108102,0.010313028,0.002817556,7.94E-06,0.002560242,0.063599124,-0.320137539,-0.350388304,0.1846863,0.03410903,0.210737055,1.631051026
18,PA,0.01090036,0.010134998,0.00280019,7.84E-06,0.002543287,0.063421094,-0.317517869,-0.347892524,0.185856834,0.034542763,0.212250742,1.638110445
19,PA,0.010771911,0.010003595,0.002807948,7.88E-06,0.002547526,0.063476198,-0.314308872,-0.344827585,0.187772335,0.03525845,0.214944966,1.64552501
20,PC,0.00558459,0.00514863,0.001610947,2.60E-06,0.001483245,0.034438137,-0.328501224,-0.363093166,0.204007818,0.04161919,0.242779508,1.582245227
21,PC,0.005555305,0.005119636,0.001611027,2.60E-06,0.001483245,0.034471708,-0.327029408,-0.361600179,0.204840972,0.041959824,0.243891751,1.58138901
22,PC,0.00552748,0.005090643,0.001610176,2.59E-06,0.001478667,0.034401514,-0.325979945,-0.360661404,0.205490871,0.042226498,0.244807325,1.593462712
23,PC,0.005147453,0.004704572,0.00161201,2.60E-06,0.001475615,0.034613624,-0.306291708,-0.341263329,0.216191169,0.046738622,0.260420309,1.614881847
24,PC,0.005111997,0.004669474,0.001612186,2.60E-06,0.001475615,0.034634987,-0.304411406,-0.339604821,0.217242651,0.047194369,0.26205236,1.625585031
25,PC,0.005083439,0.004640481,0.001612922,2.60E-06,0.001477141,0.034657877,-0.303081355,-0.338129495,0.218163646,0.047595377,0.263586529,1.626263131
26,PC,0.005055919,0.004611488,0.001613433,2.60E-06,0.001477141,0.034676189,-0.301311062,-0.336434107,0.219059136,0.047986905,0.2648533,1.62584025
27,PC,0.005023972,0.004579442,0.00161472,2.61E-06,0.001478667,0.034763169,-0.299009243,-0.334107851,0.220153966,0.048467769,0.266537686,1.626520391
28,PC,0.004987214,0.004542819,0.001616373,2.61E-06,0.001480193,0.034696026,-0.297898303,-0.333100923,0.221577215,0.049096462,0.268961654,1.63200666
29,PC,0.004947499,0.004503144,0.001613564,2.60E-06,0.001477141,0.034676189,-0.295354944,-0.330543932,0.222423031,0.049472005,0.2699033,1.636588679
30,PC,0.00489959,0.004448209,0.001632905,2.67E-06,0.001500031,0.035001221,-0.29310947,-0.328504473,0.22459206,0.050441593,0.273476448,1.633188004
31,PC,0.004870493,0.004420741,0.001630778,2.66E-06,0.001498505,0.035045474,-0.291439469,-0.326846082,0.225551963,0.050873688,0.274805764,1.63220992
32,PC,0.004794986,0.004345968,0.00162587,2.64E-06,0.001492401,0.034956968,-0.287519324,-0.322857142,0.227877684,0.051928239,0.278471594,1.642692397
33,PC,0.004755557,0.004309345,0.001617219,2.62E-06,0.001484771,0.034825734,-0.286529235,-0.321925558,0.228397678,0.052165499,0.279140609,1.647252218
34,PC,0.004739781,0.004294085,0.001617563,2.62E-06,0.001483245,0.034876091,-0.285003466,-0.320306187,0.228933239,0.052410428,0.279962741,1.649504396
35,PC,0.004738621,0.004289507,0.001625654,2.64E-06,0.001492401,0.034920344,-0.283077803,-0.318321,0.229950591,0.052877274,0.281728234,1.654916903
36,PC,0.004997147,0.004555027,0.00161525,2.61E-06,0.001480193,0.034667033,-0.297107336,-0.332306506,0.221055361,0.048865473,0.267904838,1.638764914
37,PC,0.004947761,0.004504669,0.001616328,2.61E-06,0.001478667,0.034718916,-0.294588196,-0.329896906,0.2227521,0.049618498,0.270552943,1.640890507
38,PC,0.00491001,0.00446652,0.001617459,2.62E-06,0.001480193,0.034900507,-0.291977876,-0.327208679,0.224073572,0.050208966,0.27254173,1.64472208
39,PC,0.004875794,0.004431423,0.001618562,2.62E-06,0.001481719,0.034735702,-0.290543281,-0.325898749,0.22533978,0.050778017,0.274413683,1.642832546
40,PE,0.003714232,0.00325795,0.001655219,2.74E-06,0.001556491,0.029509247,-0.160468302,-0.186651583,0.275788406,0.076059245,0.359304218,1.764786226
41,PE,0.00365281,0.003199963,0.001640671,2.69E-06,0.001512238,0.02946652,-0.157014582,-0.182658548,0.277878904,0.077216685,0.362250438,1.774243859
42,PE,0.004253815,0.00360282,0.002309509,5.33E-06,0.001687725,0.02992889,-0.194348813,-0.225893157,0.25744259,0.066276687,0.327036582,1.735439694
43,PE,0.004392484,0.003541781,0.002968099,8.81E-06,0.001701459,0.035954953,-0.19197112,-0.223834196,0.259377224,0.067276544,0.329058295,1.744232943
44,PE,0.003767135,0.003315937,0.001637185,2.68E-06,0.001509186,0.029365806,-0.165713084,-0.192176038,0.271003159,0.073442712,0.350349234,1.754774309
45,PE,0.003679381,0.003225905,0.001639824,2.69E-06,0.001510712,0.029468046,-0.157352026,-0.183054716,0.276324909,0.076355455,0.359475523,1.76807532
46,PE,0.003773797,0.003322041,0.001637484,2.68E-06,0.00150766,0.029419215,-0.16783372,-0.194610184,0.270734337,0.073297081,0.349785598,1.760022506
47,PE,0.003829989,0.003355613,0.00170431,2.90E-06,0.00150766,0.032521516,-0.182564785,-0.211267605,0.266665608,0.071110547,0.342221301,1.751664084
48,PE,0.003785004,0.003332723,0.001637067,2.68E-06,0.001506134,0.029463468,-0.170463072,-0.197589842,0.27015633,0.072984443,0.348701384,1.755692693
49,PE,0.003963381,0.003454801,0.001822995,3.32E-06,0.001556491,0.02938717,-0.179761888,-0.208304002,0.263909911,0.069648441,0.338167351,1.743976116
50,PE,0.004566765,0.004126228,0.001627153,2.65E-06,0.00150766,0.034798266,-0.240238009,-0.272158031,0.23407873,0.054792852,0.288354557,1.67503041
51,PE,0.004526701,0.004085027,0.001628489,2.65E-06,0.001506134,0.034754013,-0.237216148,-0.269007972,0.235759466,0.055582526,0.290870852,1.675154699
52,PE,0.004491093,0.004048404,0.00162787,2.65E-06,0.001504608,0.034874565,-0.234656715,-0.266304347,0.237042732,0.056189257,0.293170046,1.678092033
53,PE,0.00445704,0.004014832,0.001628101,2.65E-06,0.001503082,0.034801318,-0.23231404,-0.263975807,0.23840882,0.056838765,0.29513873,1.681998491
54,PE,0.004432681,0.003988891,0.001628269,2.65E-06,0.001503082,0.034860831,-0.229761169,-0.26109958,0.239335959,0.057281701,0.296605133,1.689532203
55,PE,0.004403317,0.003959897,0.001629188,2.65E-06,0.001501556,0.034815052,-0.227896553,-0.259259258,0.240635711,0.057905546,0.298827499,1.693282276
56,PE,0.004386163,0.003941586,0.001630222,2.66E-06,0.001503082,0.034935604,-0.226458246,-0.257831324,0.24149132,0.058318058,0.300208237,1.691356587
57,PE,0.004887536,0.004445157,0.00161532,2.61E-06,0.001483245,0.034558689,-0.261429106,-0.293696914,0.222184382,0.0493659,0.269585252,1.635729838
58,PE,0.004823352,0.00437954,0.001617557,2.62E-06,0.001484771,0.034689922,-0.256632182,-0.288809929,0.224508709,0.050404161,0.273256636,1.640455346
59,PE,0.004757038,0.004312397,0.001617636,2.62E-06,0.001483245,0.034689922,-0.252881388,-0.285010336,0.226737053,0.051409691,0.27678152,1.657606942
60,POM,0.012650982,0.01169505,0.003425896,1.17E-05,0.003088567,0.066092901,-0.291521476,-0.320662169,0.190813902,0.036409945,0.217734807,1.642484419
61,POM,0.013174249,0.012201672,0.003523523,1.24E-05,0.003289996,0.066489654,-0.300542,-0.329700271,0.187269451,0.035069847,0.213612722,1.6256075
62,POM,0.01365521,0.0117744,0.006175655,3.81E-05,0.003491424,0.072703412,-0.300422743,-0.329007137,0.191926253,0.036835687,0.220655053,1.644628626
63,POM,0.01304547,0.012110114,0.003408659,1.16E-05,0.003082464,0.066172252,-0.300364432,-0.329215564,0.185758558,0.034506242,0.210688666,1.61753663
64,POM,0.013385465,0.012445828,0.003391924,1.15E-05,0.003033632,0.066013551,-0.303994649,-0.33266783,0.183490525,0.033668773,0.20818111,1.611580335
65,POM,0.014387459,0.013446866,0.003417827,1.17E-05,0.003100775,0.067002381,-0.321660142,-0.349851337,0.175625518,0.030844323,0.198031848,1.590721035
66,POM,0.012571582,0.011591284,0.003666266,1.34E-05,0.003521943,0.066715498,-0.287766597,-0.317713749,0.194698954,0.037907683,0.224124946,1.635542989
67,POM,0.019563378,0.016694134,0.009406355,8.85E-05,0.006805835,0.137569432,-0.342780614,-0.369652797,0.154855476,0.023980218,0.171838237,1.528457109
68,POM,0.013429147,0.012494659,0.003405927,1.16E-05,0.003070256,0.066996277,-0.304911618,-0.333634718,0.182866,0.033439974,0.207210639,1.606767776
69,POM,0.014369214,0.013282061,0.004146853,1.72E-05,0.003149606,0.080101325,-0.315971057,-0.343949043,0.176352895,0.031100343,0.199175564,1.579117399
70,POM,0.012970116,0.012030764,0.003416067,1.17E-05,0.00307636,0.067020692,-0.296475485,-0.325481798,0.18792686,0.035316505,0.213889794,1.622134165
71,POM,0.014478309,0.013514008,0.003451452,1.19E-05,0.00304584,0.071928218,-0.320944123,-0.348863651,0.174138153,0.030324096,0.196035454,1.572211955
72,POM,0.011900892,0.010956479,0.003392542,1.15E-05,0.003033632,0.0659342,-0.276225205,-0.305505141,0.198110676,0.03924784,0.2278847,1.656232957
73,POM,0.013376658,0.012445828,0.003377743,1.14E-05,0.003009217,0.066617836,-0.306640361,-0.33532934,0.183112131,0.033530053,0.207250189,1.617469547
74,POM,0.012315584,0.01136544,0.003423394,1.17E-05,0.003082464,0.066306537,-0.286233944,-0.315628191,0.194744904,0.037925578,0.223110895,1.642205209
75,POM,0.012337098,0.011402063,0.003394582,1.15E-05,0.00304584,0.065793811,-0.289074738,-0.318708104,0.193549446,0.037461388,0.221576254,1.636389784
76,POM,0.012254946,0.011304401,0.003411638,1.16E-05,0.003058048,0.065488616,-0.286232082,-0.315852204,0.195199294,0.038102764,0.223956134,1.64389681
77,POM,0.015093995,0.013892449,0.004790721,2.30E-05,0.003692852,0.069950559,-0.322293298,-0.351258084,0.174063778,0.030298199,0.195857693,1.596760913
78,POM,0.014208749,0.013208814,0.003581398,1.28E-05,0.003418177,0.071201856,-0.319132542,-0.347570741,0.178556567,0.031882447,0.202782408,1.584446822
79,POM,0.011972783,0.011017518,0.003438691,1.18E-05,0.003100775,0.073582372,-0.278607423,-0.308431766,0.198931245,0.03957364,0.229127554,1.650113773
80,PS,0.0041668,0.003717268,0.001628013,2.65E-06,0.001493927,0.029338339,-0.232036646,-0.265021458,0.252484163,0.063748253,0.318764994,1.709510389
81,PS,0.003847521,0.003396814,0.001635115,2.67E-06,0.001501556,0.029500092,-0.200769875,-0.231660231,0.268523578,0.072104912,0.346009425,1.751514724
82,PS,0.003848311,0.003396814,0.001633887,2.67E-06,0.001503082,0.02934139,-0.200919218,-0.231726282,0.267977416,0.071811896,0.344750926,1.749762574
83,PS,0.003811575,0.003358664,0.001636095,2.68E-06,0.001503082,0.029457364,-0.195574078,-0.225922056,0.270291883,0.073057702,0.349273874,1.74723554
84,PS,0.004199091,0.003729476,0.001683575,2.83E-06,0.001518342,0.035178234,-0.232961845,-0.26631906,0.252010632,0.063509359,0.318232208,1.718318316
85,PS,0.003903357,0.003448697,0.001648189,2.72E-06,0.001539706,0.029469572,-0.205493664,-0.236783895,0.265964824,0.070737287,0.341508429,1.739508785
86,PS,0.003982048,0.003531099,0.001634442,2.67E-06,0.001506134,0.029173534,-0.213218081,-0.24510329,0.261405696,0.068332938,0.333735832,1.737462268
87,PS,0.004037914,0.003589086,0.001628203,2.65E-06,0.001503082,0.029353598,-0.220715323,-0.253092292,0.257809986,0.066465989,0.327416739,1.725509571
88,PS,0.003895231,0.003439541,0.001639648,2.69E-06,0.001510712,0.029393274,-0.204375931,-0.235752849,0.265970307,0.070740204,0.341706482,1.749580463
89,PS,0.003912969,0.003454801,0.001650414,2.72E-06,0.001529024,0.029358176,-0.206528126,-0.238007371,0.265135242,0.070296697,0.339943831,1.746083137
90,PS,0.003803687,0.003352561,0.001631615,2.66E-06,0.001500031,0.029512299,-0.195334691,-0.225659169,0.270026543,0.072914334,0.348446912,1.756112392
91,PS,0.00382035,0.003369346,0.001634662,2.67E-06,0.001504608,0.029526033,-0.196678739,-0.227053139,0.269475071,0.072616814,0.347537359,1.755225004
92,PS,0.003894066,0.003442593,0.001633134,2.67E-06,0.001501556,0.029388696,-0.206671814,-0.238051043,0.265717175,0.070605617,0.341029867,1.735283435
93,PS,0.00404524,0.00359519,0.001630939,2.66E-06,0.001500031,0.02960691,-0.221413274,-0.253996447,0.258391406,0.066766119,0.32850275,1.722211093
94,PS,0.00414555,0.003695904,0.001629392,2.65E-06,0.001495453,0.029448209,-0.230213519,-0.263336155,0.253781248,0.064404922,0.321022936,1.714639636
95,PS,0.003929867,0.003474638,0.001659795,2.75E-06,0.001544284,0.029672526,-0.204704229,-0.235877934,0.267053383,0.07131751,0.343655008,1.750336678
96,PS,0.004147924,0.00369743,0.001633737,2.67E-06,0.001501556,0.029248306,-0.232046492,-0.265412747,0.254351713,0.064694794,0.321570133,1.713472005
97,PS,0.003905957,0.003448697,0.001653403,2.73E-06,0.00153818,0.029327657,-0.206157609,-0.237823367,0.266645596,0.071099874,0.34291208,1.743127513
98,PS,0.004057137,0.003605872,0.001634249,2.67E-06,0.001500031,0.02936428,-0.223484219,-0.256076633,0.25840109,0.066771123,0.328527625,1.728479028
99,PS,0.005756358,0.003531099,0.008131715,6.61E-05,0.00195477,0.048467924,-0.202582113,-0.231264367,0.266213575,0.070869667,0.361554285,1.753066831
100,PP,0.003628448,0.003161814,0.001720956,2.96E-06,0.001651102,0.030084539,-0.155804859,-0.183807808,0.289740134,0.083949345,0.385272072,1.832442578
101,PP,0.003837101,0.00338308,0.001643776,2.70E-06,0.001518342,0.029339864,-0.194470707,-0.224544241,0.269637356,0.072704304,0.348252487,1.742456729
102,PP,0.003779016,0.003329671,0.001643321,2.70E-06,0.001516816,0.02945126,-0.188180483,-0.217844296,0.273081813,0.074573677,0.354171298,1.758279549
103,PP,0.003749419,0.003302204,0.001621973,2.63E-06,0.001492401,0.029107917,-0.19350313,-0.223779237,0.271949865,0.073956729,0.352294068,1.757517197
104,PP,0.003980978,0.003532625,0.001637869,2.68E-06,0.001510712,0.029512299,-0.212568637,-0.244399184,0.262120312,0.068707058,0.33525174,1.743891521
105,PP,0.00383328,0.003381554,0.001637526,2.68E-06,0.00150766,0.029524507,-0.196667389,-0.227034922,0.269249067,0.07249506,0.347366315,1.746594946
106,PP,0.003813538,0.003361716,0.001640423,2.69E-06,0.001512238,0.02949704,-0.192611222,-0.22245614,0.270562082,0.07320384,0.349794133,1.750466411
107,PP,0.003994598,0.003543307,0.001636823,2.68E-06,0.00150766,0.02945889,-0.212048305,-0.243508888,0.260952821,0.068096375,0.333156849,1.734361521
108,PP,0.003770624,0.003308307,0.001664575,2.77E-06,0.001561069,0.029376488,-0.188607405,-0.218402961,0.273797784,0.074965226,0.355506755,1.760321598
109,PP,0.003660997,0.003206067,0.0016498,2.72E-06,0.001532076,0.02945889,-0.174123814,-0.202284928,0.279314163,0.078016401,0.365083703,1.773204552
110,PP,0.003995035,0.003529573,0.001677944,2.82E-06,0.001525972,0.029429897,-0.210028708,-0.241686942,0.262380212,0.068843376,0.335847433,1.74443874
111,PP,0.003923936,0.003459379,0.001697132,2.88E-06,0.001622108,0.029431423,-0.199060621,-0.230090441,0.266555912,0.071052054,0.342821098,1.758102139
112,PP,0.003956153,0.003503632,0.001697097,2.88E-06,0.001611426,0.029423793,-0.203799323,-0.236230666,0.267010513,0.071294614,0.344349702,1.751808391
113,PP,0.003874931,0.003425807,0.001639077,2.69E-06,0.001512238,0.029501618,-0.198688713,-0.229297838,0.267134869,0.071361038,0.343709802,1.746779033
114,PP,0.003884467,0.003425807,0.001671716,2.79E-06,0.001583959,0.02936428,-0.201151123,-0.232486679,0.268281914,0.071975186,0.34584148,1.75585009
115,PP,0.003927842,0.003479216,0.001662974,2.77E-06,0.001576329,0.029258988,-0.205247566,-0.237034026,0.264484978,0.069952304,0.339262505,1.754896428
116,PP,0.003684478,0.003232009,0.001643904,2.70E-06,0.001518342,0.029353598,-0.172616665,-0.200347297,0.277448623,0.076977738,0.362132926,1.766271083
117,PP,0.003842823,0.003337301,0.001787016,3.19E-06,0.001643472,0.030598791,-0.187402837,-0.218005384,0.274308366,0.07524508,0.357885172,1.7503603
118,PP,0.00366775,0.003219801,0.001644126,2.70E-06,0.001521394,0.029355124,-0.176283279,-0.204878048,0.278894638,0.077782219,0.364598421,1.77143314
119,PP,0.003724368,0.00327321,0.001638978,2.69E-06,0.00150766,0.029382592,-0.183473145,-0.212662534,0.27558021,0.075944452,0.358762169,1.774589231
120,PVC,0.111915446,0.110309467,0.008649427,7.48E-05,0.004004151,0.1122444,-0.145368034,-0.14434055,0.104610461,0.010943349,0.148836227,0.875350159
121,PVC,0.106867061,0.105383629,0.007914077,6.26E-05,0.003912592,0.115680889,-0.171137062,-0.172381015,0.108274424,0.011723351,0.153907591,0.894672245
