,Name,intensity_std,intensity_mean,phase_std,phase_mean,mod_std,mod_mean,phaselifetime_std,phaselifetime_mean,modulationlifetime_std,modulationlifetime_mean
0,ABS,0.008855076,0.29506797,0.61855036,25.232336,0.014017493,0.8078103,0.067523934,2.503136,0.18696576,3.903217
1,ABS,0.012193188,0.45329913,0.72274643,24.69043,0.018389355,0.8122952,0.082265146,2.4545622,0.27820286,3.7740242
2,ABS,0.012519003,0.448819,0.70771337,24.898033,0.01802541,0.81169224,0.08105413,2.4781127,0.27397007,3.7907302
3,ABS,0.014466139,0.47242737,0.7201896,24.940502,0.019806981,0.8119443,0.0826242,2.48332,0.30580974,3.7781003
4,ABS,0.011446324,0.4341379,0.6929068,25.034334,0.017054385,0.8116327,0.07969257,2.4917843,0.25645947,3.797318
5,ABS,0.010485672,0.39723465,0.6567457,25.367981,0.015194763,0.8106326,0.07574845,2.5162177,0.22307599,3.8359826
6,ABS,0.010283864,0.3694272,0.65100926,24.63845,0.01451242,0.8116721,0.07366736,2.448753,0.20705444,3.80831
7,ABS,0.010557852,0.36850604,0.6478296,24.741964,0.014392204,0.8115097,0.07357341,2.4607196,0.20544001,3.8151739
8,ABS,0.009627606,0.3531701,0.663519,24.823006,0.014142076,0.81081873,0.07236929,2.4692564,0.19997966,3.8347862
9,ABS,0.010299707,0.39272436,0.6581123,25.350588,0.014983811,0.8103466,0.07587992,2.51477,0.21891059,3.8438756
10,ABS,0.009693338,0.36809415,0.63757277,25.411173,0.014369677,0.809399,0.073340036,2.518107,0.20465097,3.8691776
11,ABS,0.009656268,0.33468783,0.6392597,25.315462,0.013986057,0.808369,0.07009649,2.509678,0.1917032,3.8939092
12,ABS,0.009917377,0.38079956,0.64698744,25.282106,0.01471989,0.81008947,0.074583255,2.509441,0.21267729,3.851957
13,ABS,0.007778327,0.23093311,0.6088912,25.046448,0.019360814,0.8130113,0.06299077,2.484471,0.20669119,3.790731
14,ABS,0.007724311,0.26313695,0.6384129,25.071058,0.020522524,0.81298584,0.0632336,2.4875114,0.23420542,3.7883503
15,ABS,0.007602764,0.2503398,0.6001939,25.210976,0.014891804,0.8120451,0.062251333,2.4979875,0.22543608,3.813437
16,ABS,0.007609117,0.2442043,0.6019257,25.176958,0.016656404,0.81202084,0.062075883,2.4954848,0.22217916,3.8149672
17,ABS,0.00636426,0.19754031,0.7169127,25.16039,0.0282004,0.81205887,0.06676934,2.4930613,0.27761334,3.8184237
18,ABS,0.00847149,0.2703329,0.6325596,24.669485,0.028551197,0.8136506,0.06375207,2.4510577,0.23848441,3.7674754
19,ABS,0.008736874,0.29474902,0.6923126,24.792793,0.68263566,0.8142986,0.0800582,2.4645112,0.26367265,3.7612097
20,ABS,0.008195931,0.2618924,0.62615687,24.98739,0.020661552,0.81294906,0.062020693,2.4806013,0.23534206,3.7867918
21,ABS,0.008257282,0.24389735,0.6072662,25.09058,0.09380646,0.81206125,0.06242665,2.4886367,0.22185515,3.8116462
22,ABS,0.009799954,0.310992,0.63400763,25.109587,0.01388335,0.8083397,0.069417335,2.4949508,0.18774404,3.8911464
23,ABS,0.007911629,0.2538651,0.62487906,25.110292,0.015589756,0.8127117,0.061347045,2.4894333,0.2296542,3.7970037
