SBD,polymer,mean(ni),standard_deviation(ni),mean(nd),standard_deviation(nd)
PA_M01,PA,0.00947519,0.002825225,0.306573748,0.20587712
PA_M02,PA,0.007283538,0.002846522,0.270347879,0.248428772
PA_M03,PA,0.007002271,0.002757011,0.28032811,0.252102537
PA_M04,PA,0.010158765,0.00280925,0.322331072,0.195420091
PA_M05,PA,0.009122479,0.003178087,0.301877688,0.21296183
PA_M06,PA,0.00888133,0.002826924,0.297296336,0.214929669
PA_M07,PA,0.008950792,0.002825076,0.2978983,0.213915258
PA_M08,PA,0.009183497,0.002834403,0.30631239,0.210462213
PA_M09,PA,0.008366813,0.002832701,0.288099729,0.224331999
PA_M10,PA,0.009591451,0.002861152,0.309343663,0.203402684
PA_M11,PA,0.009857759,0.002897799,0.316661761,0.200967827
PA_M12,PA,0.008579586,0.00282537,0.291886345,0.219754398
PA_M13,PA,0.009062446,0.002835256,0.299150915,0.212098137
PA_M14,PA,0.009336638,0.003155572,0.3021163,0.21283302
PA_M15,PA,0.008498244,0.002826979,0.290888096,0.221843502
PA_M16,PA,0.013106986,0.007475925,0.343339707,0.186251091
PA_M17,PA,0.009978751,0.003407984,0.313045216,0.203303471
PA_M18,PA,0.009355728,0.002825723,0.305730462,0.207400289
PA_M19,PA,0.009571365,0.00280649,0.309571996,0.204211651
PA_M20,PA,0.008881239,0.002825841,0.298491987,0.215192129
PA_M21,PA,0.009470547,0.00282366,0.308728033,0.205726804
PA_M22,PA,0.008456022,0.003065333,0.291393468,0.225991932
PA_M23,PA,0.00940918,0.002802188,0.312555657,0.206375872
PA_M24,PA,0.012875912,0.00680468,0.342062515,0.189543051
PA_M25,PA,0.013836868,0.007766529,0.353879674,0.177862506
PA_M26,PA,0.008106049,0.003071631,0.287221409,0.240203171
PA_M27,PA,0.011158626,0.003288039,0.34815245,0.190146853
PA_M28,PA,0.009364209,0.002983345,0.307939038,0.208688255
PA_M29,PA,0.009544027,0.00322337,0.309840975,0.208668171
PA_M30,PA,0.008631453,0.002816375,0.294885155,0.218754092
PA_M31,PA,0.009375644,0.002902453,0.30835543,0.2080837
PA_M32,PA,0.009212963,0.002867013,0.302884602,0.209433573
PA_M33,PA,0.009346872,0.002875283,0.306804196,0.206927085
PA_M34,PA,0.009066112,0.002814378,0.302187062,0.210869761
PA_M35,PA,0.009262308,0.003023683,0.303630357,0.209866618
PA_M36,PA,0.008886414,0.002810412,0.297862776,0.213930215
PA_M37,PA,0.013916304,0.017595336,0.322772229,0.203263375
PA_M38,PA,0.010134652,0.004646408,0.312353987,0.202619058
PA_M39,PA,0.011455121,0.005882424,0.324663764,0.202015561
PA_M40,PA,0.011296811,0.005143642,0.333194953,0.193285358
PA_M41,PA,0.011119869,0.00371612,0.326275508,0.189495066
PA_M42,PA,0.009604946,0.003217615,0.308923218,0.207589846
PA_M43,PA,0.010135677,0.002805959,0.31904302,0.195935576
PA_M44,PA,0.008844282,0.002840853,0.298080664,0.215798921
PA_M45,PA,0.009330403,0.00280713,0.306317706,0.206828819
PA_M46,PA,0.009519608,0.003572487,0.308434564,0.212256658
PA_M47,PA,0.010218306,0.002980549,0.31980595,0.196375412
PA_M48,PA,0.00928668,0.002807149,0.304515076,0.207152389
PA_M49,PA,0.008249127,0.002829101,0.286547738,0.226291289
PA_M50,PA,0.009809323,0.003600217,0.313483404,0.203071414
PC_M01,PC,0.003983757,0.001634235,0.293564221,0.261815054
PC_M02,PC,0.003988698,0.001643025,0.29155371,0.262402019
PC_M03,PC,0.003972102,0.001630718,0.293584632,0.262601536
PC_M04,PC,0.003806361,0.001637901,0.286501659,0.271686346
PC_M05,PC,0.004162345,0.001638438,0.292847959,0.253455993
PC_M06,PC,0.003996741,0.001637044,0.292460998,0.261800408
PC_M07,PC,0.004040744,0.001634214,0.294507487,0.259480561
PC_M08,PC,0.004068026,0.001982937,0.293710749,0.262037412
PC_M09,PC,0.004188757,0.001657685,0.298883227,0.254800388
PC_M10,PC,0.003974184,0.001635211,0.292898007,0.263313192
PC_M11,PC,0.003617596,0.001642977,0.28200587,0.282722672
PC_M12,PC,0.004267961,0.001629559,0.30275033,0.249128696
PC_M13,PC,0.004159244,0.001624918,0.298561389,0.252898894
PC_M14,PC,0.004520115,0.001637398,0.313558641,0.238980124
PC_M15,PC,0.004233781,0.001630607,0.301344594,0.250399882
PC_M16,PC,0.004141555,0.00163097,0.298475604,0.254620568
PC_M17,PC,0.0039465,0.001631011,0.291447322,0.26354449
PC_M18,PC,0.004095866,0.001636121,0.296815538,0.256940164
PC_M19,PC,0.003845722,0.001637603,0.287772875,0.269398804
PC_M20,PC,0.003918972,0.001636005,0.291189303,0.265567298
PC_M21,PC,0.004238616,0.001631264,0.3019273,0.250401783
PC_M22,PC,0.003942097,0.001631066,0.291907753,0.263647226
PC_M23,PC,0.004135303,0.001631344,0.298009498,0.254958943
PC_M24,PC,0.004076739,0.001633408,0.296227155,0.257998728
PC_M25,PC,0.004040928,0.001631546,0.294975057,0.259085224
PC_M26,PC,0.004371566,0.001622414,0.308358305,0.244911249
PC_M27,PC,0.004177279,0.00163155,0.29919557,0.252900515
PC_M28,PC,0.003917727,0.001636888,0.290058546,0.26572876
PC_M29,PC,0.003932274,0.001636094,0.291742013,0.265054923
PC_M30,PC,0.0040502,0.001631534,0.296006062,0.258927011
PC_M31,PC,0.004093689,0.001635863,0.297128832,0.256942553
PC_M32,PC,0.003884228,0.001637779,0.289653725,0.267514425
PC_M33,PC,0.005496345,0.001610884,0.357320844,0.20775355
PC_M34,PC,0.003996203,0.001633244,0.294723367,0.261707367
PC_M35,PC,0.004067261,0.001635653,0.29562753,0.258416976
PC_M36,PC,0.004558005,0.001633759,0.316951131,0.237722836
PC_M37,PC,0.004617187,0.001625158,0.322626148,0.235665419
PC_M38,PC,0.005303268,0.001603842,0.354322437,0.211655066
PC_M39,PC,0.005595552,0.001616797,0.36032112,0.205535808
PC_M40,PC,0.004627419,0.001621443,0.320381282,0.234690394
PC_M41,PC,0.004867645,0.001685204,0.330160899,0.226429255
PC_M42,PC,0.00414859,0.001687293,0.298218266,0.25663981
PC_M43,PC,0.004084651,0.00163129,0.296814475,0.256918769
PC_M44,PC,0.0039649,0.001637517,0.292130841,0.263153344
PC_M45,PC,0.003937602,0.001629927,0.29199768,0.263879148
PC_M46,PC,0.004030423,0.001636274,0.289073225,0.259232526
PC_M47,PC,0.005604169,0.001613387,0.361886996,0.205194326
PC_M48,PC,0.005158034,0.001619892,0.340817445,0.217318512
PC_M49,PC,0.00436865,0.001626704,0.311101868,0.244937914
PC_M50,PC,0.004077911,0.001634015,0.295983452,0.2576677
PE_M01,PE,0.004162153,0.001631458,0.278322775,0.25150465
PE_M02,PE,0.003948953,0.001642541,0.275105139,0.262514531
PE_M03,PE,0.003807969,0.001642301,0.267380544,0.269613613
PE_M04,PE,0.003706617,0.001642056,0.265026766,0.275243872
PE_M05,PE,0.00397157,0.002172797,0.269485564,0.270239036
PE_M06,PE,0.007883698,0.011905303,0.271762984,0.248307622
PE_M07,PE,0.004018503,0.001746791,0.273159771,0.260589944
PE_M08,PE,0.003683065,0.001640828,0.264309224,0.276407259
PE_M09,PE,0.003846871,0.001635634,0.264386154,0.266751486
PE_M10,PE,0.003916938,0.001637702,0.265712126,0.263033167
PE_M11,PE,0.004213743,0.001629815,0.269837693,0.247851801
PE_M12,PE,0.003834694,0.001694069,0.268235874,0.270020554
PE_M13,PE,0.003740283,0.001639679,0.264183574,0.272752335
PE_M14,PE,0.003885548,0.001661999,0.269911781,0.268119492
PE_M15,PE,0.003808009,0.001663684,0.267982052,0.273811134
PE_M16,PE,0.003916166,0.001637472,0.266429924,0.263212424
PE_M17,PE,0.003765547,0.001638634,0.265859696,0.271422092
PE_M18,PE,0.00369014,0.001643526,0.265212489,0.276134201
PE_M19,PE,0.004111578,0.001641226,0.275388261,0.253662359
PE_M20,PE,0.003752214,0.001636966,0.265349609,0.271678062
PE_M21,PE,0.003765829,0.001642746,0.267013143,0.271463528
PE_M22,PE,0.003904277,0.001630905,0.267416763,0.262891577
PE_M23,PE,0.003720827,0.001639242,0.265637311,0.273951233
PE_M24,PE,0.003932667,0.001634054,0.277302718,0.26286284
PE_M25,PE,0.003574927,0.001628329,0.26327021,0.280830143
PE_M26,PE,0.003796605,0.001684105,0.265642894,0.274671011
PE_M27,PE,0.003921093,0.001639248,0.274872058,0.264012414
PE_M28,PE,0.004191824,0.001619961,0.280305286,0.248647161
PE_M29,PE,0.003899454,0.001670031,0.268813482,0.265515101
