,polymer,mean(ni),standard_deviation(ni),Median(ni),mean(nid),standard_deviation(nid),Median(nid)
0,PA,0.008643832,0.00283729,0.007854517,-0.033962404,0.21311973,-0.038335159
1,PA,0.007152422,0.002850063,0.006358217,-0.015490252,0.246835009,-0.017570105
2,PA,0.006740715,0.002753336,0.00597955,-0.017189239,0.253155561,-0.019607843
3,PA,0.009186466,0.002831928,0.008401324,-0.034183551,0.20299795,-0.038265894
4,PA,0.008398848,0.003030339,0.007536606,-0.029866216,0.218256033,-0.034065934
5,PA,0.00817875,0.002830195,0.007392487,-0.028965493,0.221288346,-0.032601464
6,PA,0.008180984,0.002822615,0.007396726,-0.02993034,0.220897273,-0.033677866
7,PA,0.008451344,0.002829128,0.00766801,-0.028056381,0.215730151,-0.031667839
8,PA,0.007885245,0.002841191,0.00709577,-0.025493955,0.228264554,-0.028888889
9,PA,0.008741909,0.0028694,0.007943532,-0.034595298,0.210969331,-0.038721573
10,PA,0.008972909,0.002875645,0.008189383,-0.034457986,0.207062764,-0.038283063
11,PA,0.008020223,0.002841435,0.007235651,-0.027167999,0.225137478,-0.030540329
12,PA,0.008294299,0.002835785,0.007511174,-0.030294506,0.219219285,-0.034412955
13,PA,0.008598557,0.003007089,0.007786696,-0.032529047,0.216326848,-0.038481272
14,PA,0.007979805,0.002837606,0.007189024,-0.026980165,0.226051975,-0.030453698
15,PA,0.011318916,0.005847249,0.00937625,-0.040954153,0.188428806,-0.047074165
16,PA,0.009079414,0.003173451,0.008113085,-0.035399723,0.206639279,-0.0407911
17,PA,0.008538337,0.00281724,0.007765502,-0.031515427,0.21335405,-0.035275444
18,PA,0.008641338,0.002827565,0.007871472,-0.032867592,0.212761415,-0.036705786
19,PA,0.008131652,0.002828348,0.00734586,-0.030018701,0.222357539,-0.033898305
20,PA,0.008571078,0.002818627,0.007786696,-0.034619131,0.213067194,-0.038910506
21,PA,0.007876249,0.002972322,0.007040665,-0.024858424,0.230026905,-0.027589797
22,PA,0.008586423,0.00282228,0.007799413,-0.032291093,0.21344292,-0.036316472
23,PA,0.011251793,0.005513924,0.009282997,-0.037515538,0.189868699,-0.04084014
24,PA,0.011542289,0.005806043,0.009800132,-0.039961364,0.184003139,-0.043626062
25,PA,0.007704733,0.003004736,0.006998277,-0.022301045,0.23756214,-0.027491409
26,PA,0.010336695,0.003107953,0.009609385,-0.029946009,0.187815706,-0.034449761
27,PA,0.008555801,0.002939386,0.007752786,-0.028711457,0.215380812,-0.032600959
28,PA,0.008717123,0.003078909,0.007884189,-0.029676088,0.212750825,-0.033783784
29,PA,0.008075261,0.002834459,0.007286517,-0.025984862,0.22378764,-0.029411765
30,PA,0.008540274,0.002870476,0.007740069,-0.029474573,0.214521307,-0.032870708
31,PA,0.008425619,0.002856418,0.007642577,-0.031359605,0.216736333,-0.035561878
32,PA,0.008565783,0.00287309,0.007765502,-0.03078559,0.214102499,-0.034563562
33,PA,0.008341726,0.002832766,0.0075578,-0.03033175,0.217967879,-0.034292035
34,PA,0.008425155,0.002911104,0.00762986,-0.030575668,0.215628721,-0.034482758
35,PA,0.008244474,0.002832582,0.007456069,-0.028660243,0.220221665,-0.032307692
36,PA,0.012451398,0.016224497,0.008579354,-0.033201341,0.199766922,-0.036144578
37,PA,0.009074302,0.003852867,0.008117324,-0.034173841,0.209118243,-0.03990178
38,PA,0.010021795,0.00470792,0.008528488,-0.032204343,0.20310287,-0.035913403
39,PA,0.009982971,0.004363823,0.008668369,-0.031784018,0.197408905,-0.033996151
40,PA,0.009760165,0.003283229,0.008846399,-0.038645677,0.196398022,-0.042035398
41,PA,0.00879068,0.003066914,0.007935055,-0.031511106,0.21098942,-0.03569111
42,PA,0.009222161,0.002797814,0.008447951,-0.036521955,0.200976368,-0.041054232
43,PA,0.008124234,0.002831948,0.007350099,-0.028379555,0.222106909,-0.03230148
44,PA,0.008511744,0.0028294,0.007727353,-0.031395192,0.21477861,-0.035429077
45,PA,0.008662642,0.003231154,0.007663771,-0.028307205,0.215557199,-0.033250459
46,PA,0.009125419,0.002925774,0.008350458,-0.035321203,0.204858286,-0.039855072
47,PA,0.008576508,0.002831387,0.007799413,-0.031450236,0.213689749,-0.035552682
48,PA,0.007723188,0.002822027,0.006938934,-0.022941969,0.230548269,-0.02596436
49,PA,0.008908048,0.003329186,0.008015592,-0.033068962,0.208296249,-0.037542662
50,PC,0.003897409,0.001641107,0.003445645,-0.01031571,0.260095052,-0.011547344
51,PC,0.003875953,0.001640686,0.003422755,-0.010253194,0.2611723,-0.011453934
52,PC,0.003876732,0.001638444,0.003425807,-0.010835596,0.261191356,-0.011997913
53,PC,0.003720913,0.001634922,0.003270158,-0.006450891,0.269555447,-0.007048429
54,PC,0.004029078,0.001638897,0.003578404,-0.013615812,0.252604461,-0.015506991
55,PC,0.00386453,0.001634095,0.003413599,-0.011357597,0.261026564,-0.012891344
56,PC,0.003933554,0.001636315,0.003482268,-0.011067821,0.25769366,-0.012458744
57,PC,0.003937795,0.001797095,0.003445645,-0.011103808,0.259551529,-0.013170129
58,PC,0.004025734,0.001640939,0.00357993,-0.01262043,0.253302445,-0.01453958
59,PC,0.003890866,0.001635487,0.003439541,-0.008895277,0.260057431,-0.010007506
60,PC,0.003569265,0.001634522,0.003119087,-0.001210887,0.278794713,-0.001168452
61,PC,0.004117859,0.001628832,0.003668437,-0.013903772,0.247412286,-0.015571991
