,polymer,mean(ni),Median(ni),mean(nid),Median(nid)
0,PA,0.008643832,0.007854517,-0.033962404,-0.038335159
1,PA,0.007152422,0.006358217,-0.015490252,-0.017570105
2,PA,0.006740715,0.00597955,-0.017189239,-0.019607843
3,PA,0.009186466,0.008401324,-0.034183551,-0.038265894
4,PA,0.008398848,0.007536606,-0.029866216,-0.034065934
5,PA,0.00817875,0.007392487,-0.028965493,-0.032601464
6,PA,0.008180984,0.007396726,-0.02993034,-0.033677866
7,PA,0.008451344,0.00766801,-0.028056381,-0.031667839
8,PA,0.007885245,0.00709577,-0.025493955,-0.028888889
9,PA,0.008741909,0.007943532,-0.034595298,-0.038721573
10,PA,0.008972909,0.008189383,-0.034457986,-0.038283063
11,PA,0.008020223,0.007235651,-0.027167999,-0.030540329
12,PA,0.008294299,0.007511174,-0.030294506,-0.034412955
13,PA,0.008598557,0.007786696,-0.032529047,-0.038481272
14,PA,0.007979805,0.007189024,-0.026980165,-0.030453698
15,PA,0.011318916,0.00937625,-0.040954153,-0.047074165
16,PA,0.009079414,0.008113085,-0.035399723,-0.0407911
17,PA,0.008538337,0.007765502,-0.031515427,-0.035275444
18,PA,0.008641338,0.007871472,-0.032867592,-0.036705786
19,PA,0.008131652,0.00734586,-0.030018701,-0.033898305
20,PA,0.008571078,0.007786696,-0.034619131,-0.038910506
21,PA,0.007876249,0.007040665,-0.024858424,-0.027589797
22,PA,0.008586423,0.007799413,-0.032291093,-0.036316472
23,PA,0.011251793,0.009282997,-0.037515538,-0.04084014
24,PA,0.011542289,0.009800132,-0.039961364,-0.043626062
25,PA,0.007704733,0.006998277,-0.022301045,-0.027491409
26,PA,0.010336695,0.009609385,-0.029946009,-0.034449761
27,PA,0.008555801,0.007752786,-0.028711457,-0.032600959
28,PA,0.008717123,0.007884189,-0.029676088,-0.033783784
29,PA,0.008075261,0.007286517,-0.025984862,-0.029411765
30,PA,0.008540274,0.007740069,-0.029474573,-0.032870708
31,PA,0.008425619,0.007642577,-0.031359605,-0.035561878
32,PA,0.008565783,0.007765502,-0.03078559,-0.034563562
33,PA,0.008341726,0.0075578,-0.03033175,-0.034292035
34,PA,0.008425155,0.00762986,-0.030575668,-0.034482758
35,PA,0.008244474,0.007456069,-0.028660243,-0.032307692
36,PA,0.012451398,0.008579354,-0.033201341,-0.036144578
37,PA,0.009074302,0.008117324,-0.034173841,-0.03990178
38,PA,0.010021795,0.008528488,-0.032204343,-0.035913403
39,PA,0.009982971,0.008668369,-0.031784018,-0.033996151
40,PA,0.009760165,0.008846399,-0.038645677,-0.042035398
41,PA,0.00879068,0.007935055,-0.031511106,-0.03569111
42,PA,0.009222161,0.008447951,-0.036521955,-0.041054232
43,PA,0.008124234,0.007350099,-0.028379555,-0.03230148
44,PA,0.008511744,0.007727353,-0.031395192,-0.035429077
45,PA,0.008662642,0.007663771,-0.028307205,-0.033250459
46,PA,0.009125419,0.008350458,-0.035321203,-0.039855072
47,PA,0.008576508,0.007799413,-0.031450236,-0.035552682
48,PA,0.007723188,0.006938934,-0.022941969,-0.02596436
49,PA,0.008908048,0.008015592,-0.033068962,-0.037542662
50,PC,0.003897409,0.003445645,-0.01031571,-0.011547344
51,PC,0.003875953,0.003422755,-0.010253194,-0.011453934
52,PC,0.003876732,0.003425807,-0.010835596,-0.011997913
53,PC,0.003720913,0.003270158,-0.006450891,-0.007048429
54,PC,0.004029078,0.003578404,-0.013615812,-0.015506991
55,PC,0.00386453,0.003413599,-0.011357597,-0.012891344
56,PC,0.003933554,0.003482268,-0.011067821,-0.012458744
57,PC,0.003937795,0.003445645,-0.011103808,-0.013170129
58,PC,0.004025734,0.00357993,-0.01262043,-0.01453958
59,PC,0.003890866,0.003439541,-0.008895277,-0.010007506
60,PC,0.003569265,0.003119087,-0.001210887,-0.001168452
61,PC,0.004117859,0.003668437,-0.013903772,-0.015571991
62,PC,0.004033314,0.003582982,-0.013510069,-0.015138613
63,PC,0.004312399,0.003871391,-0.016440579,-0.018714813
64,PC,0.004075811,0.00362571,-0.013663139,-0.015355953
65,PC,0.003986148,0.003537203,-0.013021534,-0.01456133
66,PC,0.003855022,0.003402918,-0.011027509,-0.012479653
67,PC,0.003942008,0.003494476,-0.011992622,-0.013630106
68,PC,0.003776772,0.003325093,-0.006999892,-0.007707804
69,PC,0.003813084,0.003363242,-0.008871723,-0.009855072
70,PC,0.00409509,0.003644021,-0.015002442,-0.017068987
71,PC,0.003862699,0.003410548,-0.009301219,-0.010431673
72,PC,0.003983981,0.003535677,-0.012993168,-0.01459854
73,PC,0.003970305,0.003518892,-0.011609762,-0.013176494
74,PC,0.003941484,0.003489898,-0.011290788,-0.012623986
75,PC,0.00419715,0.003746261,-0.014472123,-0.016292831
76,PC,0.004058408,0.003607398,-0.014630241,-0.016524216
77,PC,0.003809044,0.003357138,-0.007817745,-0.008669783
78,PC,0.003848021,0.003395288,-0.008173081,-0.00910839
79,PC,0.003945797,0.003494476,-0.011607668,-0.013096747
80,PC,0.003989599,0.003537203,-0.012196993,-0.013614133
81,PC,0.003840859,0.003389184,-0.00839603,-0.009348291
82,PC,0.005081441,0.004642007,-0.01160266,-0.012820513
83,PC,0.003890639,0.003439541,-0.00923739,-0.010232558
84,PC,0.00394856,0.003497528,-0.011065755,-0.012419487
85,PC,0.004326414,0.003875969,-0.01207912,-0.01344809
86,PC,0.004446433,0.003998047,-0.010656892,-0.011881188
87,PC,0.005000745,0.004562656,-0.006880561,-0.008147947
88,PC,0.00518615,0.004751877,-0.010360773,-0.011257495
89,PC,0.004400206,0.003952268,-0.013557173,-0.015267176
90,PC,0.004605126,0.004147592,-0.013203667,-0.014638609
91,PC,0.003996303,0.003537203,-0.013063481,-0.015075377
92,PC,0.003978377,0.003526521,-0.011921007,-0.013377926
93,PC,0.003878557,0.003427333,-0.010476753,-0.01188455
94,PC,0.003844822,0.003395288,-0.009781014,-0.010767643
95,PC,0.003945286,0.003496002,-0.010621712,-0.012026314
96,PC,0.005209969,0.004770189,-0.010897252,-0.012127337
97,PC,0.004901319,0.004463468,-0.012001009,-0.013389158
98,PC,0.004241749,0.003793567,-0.010618583,-0.011808118
99,PC,0.003940837,0.003489898,-0.012276016,-0.013783751
100,PE,0.003976108,0.003526521,-0.01843609,-0.021020065
101,PE,0.003813091,0.003361716,-0.011136027,-0.012642986
102,PE,0.003670675,0.003218275,-0.012056155,-0.013830969
103,PE,0.003594092,0.00314045,-0.009483591,-0.010956903
104,PE,0.003790999,0.003213697,-0.012748312,-0.016926642
105,PE,0.00734793,0.003787463,-0.015656356,-0.009389671
106,PE,0.003853983,0.003378502,-0.015818926,-0.018653434
107,PE,0.003584501,0.003131295,-0.009634131,-0.011023622
108,PE,0.003701517,0.00325032,-0.014032166,-0.016326531
109,PE,0.003761823,0.003309833,-0.016560727,-0.019047619
110,PE,0.004023889,0.003573827,-0.025997494,-0.029787234
111,PE,0.003676563,0.003212171,-0.011972902,-0.014409222
112,PE,0.003625074,0.00317097,-0.011947619,-0.013868225
113,PE,0.003717245,0.003277788,-0.014052164,-0.017335766
114,PE,0.003667592,0.003238113,-0.012155057,-0.015460226
115,PE,0.003761212,0.003311359,-0.017230525,-0.020169161
116,PE,0.003634893,0.003181652,-0.011504464,-0.013057671
117,PE,0.003572746,0.003120613,-0.008768502,-0.010037641
118,PE,0.003945978,0.003494476,-0.016945378,-0.019636364
119,PE,0.003635691,0.003181652,-0.012535466,-0.014450867
120,PE,0.003617248,0.003164866,-0.010757086,-0.01242236
121,PE,0.003753878,0.003300678,-0.016082076,-0.018451806
122,PE,0.00358346,0.003131295,-0.010415075,-0.011928744
123,PE,0.003789513,0.003337301,-0.010236012,-0.011632421
124,PE,0.003522401,0.00306873,-0.008849878,-0.010165184
125,PE,0.003656164,0.003199963,-0.009870768,-0.011347518
126,PE,0.003774855,0.003323567,-0.009447463,-0.010624734
127,PE,0.004060473,0.003608924,-0.016839731,-0.019126743
128,PE,0.003758808,0.003297626,-0.013110639,-0.014956714
129,PE,0.003758434,0.003305255,-0.012957673,-0.014763397
130,PE,0.003583708,0.003129769,-0.007938838,-0.009021513
131,PE,0.003715673,0.003264054,-0.013598487,-0.015617605
132,PE,0.003613353,0.003164866,-0.011989726,-0.013813814
133,PE,0.003820845,0.00336782,-0.016097985,-0.018518518
134,PE,0.004176529,0.003741683,-0.022083592,-0.025462385
135,PE,0.00370369,0.00325032,-0.013924076,-0.016089109
136,PE,0.00357451,0.003120613,-0.010377565,-0.011834319
137,PE,0.003657557,0.003204541,-0.01373628,-0.015731244
138,PE,0.003835798,0.003338827,-0.015640569,-0.018553132
139,PE,0.003620259,0.003167918,-0.011506574,-0.013295176
140,PE,0.003610391,0.003157236,-0.011861177,-0.014105419
141,PE,0.003538933,0.003087041,-0.008839172,-0.01010101
142,PE,0.00407671,0.003459379,-0.021843366,-0.028482651
143,PE,0.004183962,0.003392236,-0.018427847,-0.025658125
144,PE,0.003652835,0.003201489,-0.014148657,-0.016371752
145,PE,0.003571682,0.003117561,-0.010668929,-0.012173384
146,PE,0.003662303,0.003210645,-0.014375795,-0.01658283
147,PE,0.003750877,0.003276262,-0.012315781,-0.014507772
148,PE,0.003655973,0.003203015,-0.012730106,-0.014445336
149,PE,0.003837997,0.003340353,-0.018037294,-0.021575514
150,PP,0.003578462,0.003116035,0.004190203,0.005081946
151,PP,0.003659497,0.003206067,0.004831643,0.00591716
152,PP,0.003616672,0.003164866,0.006352445,0.007708479
153,PP,0.003621953,0.003169444,0.00602881,0.007160804
154,PP,0.003769263,0.003320515,0.001915898,0.002586653
155,PP,0.003672269,0.003219801,0.004434937,0.005490196
156,PP,0.003639793,0.003187756,0.005245246,0.006497768
157,PP,0.003808458,0.003355613,0.000807379,0.001304632
158,PP,0.003621897,0.00316334,0.005860168,0.006993007
159,PP,0.003505212,0.00305347,0.006052576,0.007185629
160,PP,0.003799981,0.003338827,0.00155833,0.001834862
161,PP,0.003736965,0.00328084,0.002625193,0.003293963
162,PP,0.003744248,0.003297626,0.001854593,0.002517624
163,PP,0.003711136,0.003261002,0.001247247,0.001736614
164,PP,0.00371291,0.003259476,0.003470532,0.004096229
165,PP,0.003742903,0.003293048,0.000483197,0.000707714
