,polymer,mean(nid),Median(nid),IQR(nid),Range(nid)
0,ABS,-0.008292867,-0.007804419,0.059106641,0.623557172
1,ABS,-0.027037796,-0.02480916,0.083121,0.741234087
2,ABS,-0.010665346,-0.009881312,0.063987013,0.640408645
3,ABS,-0.029887789,-0.027418413,0.085637988,0.743484255
4,ABS,-0.014028893,-0.012977055,0.06919387,0.663984904
5,ABS,-0.071475221,-0.06694701,0.114794344,0.798897358
6,ABS,-0.010063234,-0.009400436,0.063107611,0.641664854
7,ABS,-0.106062332,-0.100552321,0.135661458,0.838353467
8,ABS,-0.002410309,-0.002071472,0.036838533,0.568431679
9,ABS,-0.000116759,0,0,0.44594684
10,ABS,-0.241269288,-0.247060338,0.155295445,0.985881714
11,ABS,-0.015014225,-0.013854269,0.070493663,0.695837084
12,ABS,-0.169651541,-0.169882826,0.152591937,0.902929276
13,ABS,-0.00014493,0,0.022623168,0.52960306
14,ABS,-0.003489486,-0.003259004,0.042714614,0.579944754
15,ABS,-0.001130034,-0.000316977,0.028418343,0.540935814
16,ABS,-0.00794627,-0.007446632,0.058318778,0.629300048
17,ABS,-0.000141605,0,0,0.345533601
18,ABS,-0.000340791,0,0.02393946,0.536093807
19,ABS,-0.000145227,0,0,0.369770406
20,ABS,-0.054213055,-0.050176743,0.103948426,0.777737399
21,ABS,-0.186203531,-0.18774572,0.154816575,0.936865242
22,ABS,-0.040182258,-0.036975433,0.093822728,0.774953789
23,ABS,-0.126419873,-0.123351847,0.141448266,0.86468682
24,ABS,-0.070778737,-0.066098466,0.114518025,0.793578284
25,ABS,-0.042500233,-0.039110834,0.095535521,0.774547554
26,ABS,-0.007224916,-0.006791233,0.05684393,0.608713503
27,ABS,-0.004821195,-0.004593036,0.049197704,0.599771656
28,ABS,-0.032373188,-0.029716898,0.087856997,0.763060112
29,ABS,-0.023154685,-0.021254975,0.079753519,0.735821331
30,ABS,-0.059446911,-0.055216123,0.107313548,0.789499412
31,ABS,-0.039596517,-0.036418183,0.093401203,0.769663573
32,ABS,-0.020154961,-0.018521508,0.076807344,0.716755682
33,ABS,-0.080248639,-0.075727779,0.119907612,0.808686566
34,ABS,5.48E-05,0,0.020134974,0.508326956
35,ABS,-0.024225132,-0.022262722,0.080577494,0.735074703
36,ABS,-0.001579672,-0.001108446,0.03167535,0.567742559
37,ABS,-0.007974348,-0.007472605,0.058608875,0.617009532
38,ABS,-0.052279976,-0.048382329,0.102456685,0.785726742
39,ABS,-0.002179556,-0.001831049,0.034888924,0.576998411
40,ABS,-0.060617104,-0.056369707,0.108076431,0.792642046
41,ABS,-0.039075616,-0.035869517,0.093009709,0.768931026
42,ABS,-0.000155208,0,0.022376239,0.524666629
43,ABS,-0.054286106,-0.050231004,0.103894088,0.790905266
44,ABS,-0.006368465,-0.00602431,0.054165323,0.61006508
45,ABS,-0.011170612,-0.010398415,0.065177628,0.647441329
46,ABS,-0.129584289,-0.126832929,0.142473948,0.866253835
47,ABS,-0.017330607,-0.015972319,0.073505647,0.701041224
48,ABS,-0.011937379,-0.011038766,0.065338798,0.658702947
49,ABS,-0.018444084,-0.01697302,0.074873623,0.706044821
50,PA,-0.275121738,-0.305712491,0.240345501,1.658574668
51,PA,-0.199274434,-0.227974568,0.307288676,1.741397434
52,PA,-0.210791007,-0.241252301,0.316744116,1.722707199
53,PA,-0.29807146,-0.328571427,0.225372824,1.652728059
54,PA,-0.265886682,-0.296914305,0.251275767,1.683189729
55,PA,-0.259240322,-0.289875172,0.253745929,1.70091744
56,PA,-0.26052833,-0.291205211,0.252159661,1.695598278
57,PA,-0.272573285,-0.303725659,0.246993425,1.687700494
58,PA,-0.242102041,-0.272591485,0.26796082,1.719932274
59,PA,-0.279547672,-0.310119694,0.236810159,1.667996019
60,PA,-0.289211022,-0.320279719,0.233360623,1.660628688
61,PA,-0.249727081,-0.280343204,0.261043874,1.706759689
62,PA,-0.262998765,-0.293655983,0.249393263,1.690465189
63,PA,-0.266015016,-0.298113206,0.251826634,1.714398448
64,PA,-0.247211557,-0.277777777,0.26435098,1.717036155
65,PA,-0.32483903,-0.356311057,0.215630811,1.656184268
66,PA,-0.283934142,-0.315025906,0.237781274,1.67669438
67,PA,-0.2733638,-0.304073576,0.242656001,1.679505236
68,PA,-0.279439712,-0.310213595,0.238589648,1.679517212
69,PA,-0.260589954,-0.291309668,0.254101184,1.690121047
70,PA,-0.277774145,-0.308443422,0.240342611,1.653105584
71,PA,-0.245205732,-0.276335877,0.271236134,1.674981332
72,PA,-0.281986446,-0.313291138,0.240938447,1.662879984
73,PA,-0.322312153,-0.354389033,0.219710815,1.626812913
74,PA,-0.339141999,-0.369346732,0.203352256,1.599944289
75,PA,-0.22863844,-0.263795423,0.294032372,1.773236278
76,PA,-0.328710313,-0.362179486,0.217297681,1.686899285
77,PA,-0.275277552,-0.306789177,0.244750017,1.661313667
78,PA,-0.277553735,-0.309377246,0.245454655,1.675904966
79,PA,-0.254082346,-0.284923501,0.25952176,1.690415176
80,PA,-0.276176966,-0.30723574,0.243958258,1.665301276
81,PA,-0.268862668,-0.299772898,0.245464079,1.653044671
82,PA,-0.274871435,-0.305529946,0.241779229,1.663112322
83,PA,-0.267357934,-0.298132645,0.247471526,1.669199559
84,PA,-0.269556305,-0.300552485,0.246162172,1.67608193
85,PA,-0.260466748,-0.291100469,0.25204997,1.675058309
86,PA,-0.297498055,-0.330890051,0.245052356,1.680259572
87,PA,-0.283288675,-0.314718655,0.236377023,1.665335919
88,PA,-0.297564094,-0.331088663,0.236468799,1.642036995
89,PA,-0.311323619,-0.342253216,0.223467276,1.627259513
90,PA,-0.304693373,-0.334807932,0.217886748,1.639169982
91,PA,-0.277072128,-0.308387096,0.244068999,1.67137736
92,PA,-0.294075746,-0.324487483,0.226372173,1.624363422
93,PA,-0.259687228,-0.290684623,0.254938527,1.682461107
94,PA,-0.274350976,-0.305115751,0.241510422,1.657260636
95,PA,-0.274128125,-0.306150193,0.251271092,1.679311708
96,PA,-0.294693116,-0.325356649,0.226996328,1.642763344
97,PA,-0.271988524,-0.302686566,0.24193343,1.652092147
98,PA,-0.238839743,-0.269206745,0.271097266,1.697984257
99,PA,-0.284593142,-0.315621678,0.236657981,1.655244763
100,PC,-0.221910785,-0.255061916,0.334609041,1.741584934
101,PC,-0.218439952,-0.251117401,0.335701473,1.733908368
102,PC,-0.221231168,-0.254217895,0.335734759,1.736523356
103,PC,-0.201719639,-0.233128833,0.351947448,1.750991098
104,PC,-0.227893945,-0.260834883,0.32038068,1.716464472
105,PC,-0.220289139,-0.25319693,0.33452209,1.732745467
106,PC,-0.225344233,-0.25851766,0.330551577,1.733382257
107,PC,-0.221841806,-0.254949252,0.335408223,1.746132122
108,PC,-0.23520625,-0.269582908,0.323472525,1.728521337
109,PC,-0.219552588,-0.252640129,0.33752046,1.739746132
110,PC,-0.181916247,-0.211566617,0.371238241,1.785086197
111,PC,-0.245084582,-0.279376208,0.31324789,1.710294557
112,PC,-0.236428249,-0.270152504,0.319211092,1.714630874
113,PC,-0.266202229,-0.301369862,0.296381057,1.685429944
114,PC,-0.242242226,-0.27630285,0.315420635,1.708123426
115,PC,-0.235011792,-0.268817203,0.322358572,1.717116272
116,PC,-0.21721392,-0.249772243,0.337363098,1.740857677
117,PC,-0.23078625,-0.264284245,0.325965506,1.722185
118,PC,-0.206036835,-0.237864809,0.347772332,1.745802951
119,PC,-0.214998156,-0.247543284,0.340769943,1.752554907
120,PC,-0.243026264,-0.277207391,0.315247295,1.710916168
121,PC,-0.217805445,-0.250457876,0.337508966,1.746135006
122,PC,-0.234065435,-0.26774733,0.322953382,1.718048516
123,PC,-0.229049673,-0.262643463,0.327975381,1.732983796
124,PC,-0.226326323,-0.25960419,0.329735255,1.731022954
125,PC,-0.255574457,-0.290524394,0.306437237,1.689255958
126,PC,-0.237380268,-0.271142109,0.319395965,1.719128678
127,PC,-0.213116798,-0.245416912,0.341163778,1.756689042
128,PC,-0.216301201,-0.249013587,0.339918697,1.750752009
129,PC,-0.228004025,-0.261436536,0.32950256,1.742743431
130,PC,-0.231242761,-0.264774178,0.326174325,1.726592203
131,PC,-0.210821086,-0.242988637,0.344204453,1.746871792
132,PC,-0.334030347,-0.36969699,0.24839869,1.579925149
133,PC,-0.223748397,-0.25684409,0.334346977,1.738820056
134,PC,-0.22785417,-0.261186738,0.328799327,1.731008946
135,PC,-0.271344419,-0.306883364,0.294390755,1.687683552
136,PC,-0.279767868,-0.31576746,0.290930731,1.677593307
137,PC,-0.329055754,-0.365339577,0.253645643,1.63059873
138,PC,-0.338231534,-0.373737394,0.245383786,1.579979061
139,PC,-0.277523013,-0.313124468,0.289377777,1.673218612
140,PC,-0.293931469,-0.329888711,0.275911621,1.649005236
141,PC,-0.232796885,-0.267194663,0.326080577,1.730328029
142,PC,-0.230799021,-0.264385305,0.326029117,1.725061232
143,PC,-0.21861566,-0.251339104,0.336842457,1.737685782
144,PC,-0.217723056,-0.25054089,0.33793812,1.742342487
145,PC,-0.217508077,-0.249731469,0.330040651,1.728795356
146,PC,-0.340124158,-0.375687695,0.244667362,1.585319719
147,PC,-0.311055707,-0.346753438,0.262621722,1.621983926
148,PC,-0.259236451,-0.294624368,0.305992255,1.696396887
149,PC,-0.228981861,-0.262433861,0.327358189,1.724455976
150,PE,-0.208252964,-0.238647342,0.31652121,1.715934433
151,PE,-0.192867957,-0.222175906,0.335356555,1.741251877
152,PE,-0.172002121,-0.199161425,0.347571131,1.756296355
153,PE,-0.160616817,-0.186700767,0.35760164,1.765834925
154,PE,-0.174146195,-0.203323557,0.350227747,1.75431862
155,PE,-0.213277977,-0.239672338,0.363629253,1.708321131
156,PE,-0.191496502,-0.220961853,0.332846714,1.741879468
157,PE,-0.157677975,-0.183333333,0.359797794,1.760348392
